date,code,name,source_line,tier,tier_raw,rank,strategy_source,entry_type,entry_text,trigger_price,line_action,D_close,D_pct,d1,D1_open,D1_high,D1_low,D1_close,D1_volratio5,D2_close,全A等权_d1,A_成交,A_成交价,A_r_d1,A_r_d2,A_alpha_d1,A_踏空,A_状态,A_桶,B_状态,B_成交价,B_r_d1,B_r_d2,B_alpha_d1,B_桶,票自身_d1,票自身_alpha_d1,review_bucket,review_verdict,action_note,notes
2026-09-02,688569,铁科轨道,定时策略,买入候选,可参与(稳健/防β)/方向中性偏多,3.0,放量后缩量回踩(S02)+最大范围选股,限价,回踩买不是突破买：18.66～18.99区间分批,18.99,限价挂单,18.99,-1.708074534161497,2026-09-03,18.86,19.15,18.74,18.81,0.64,18.85,-0.3076,True,18.86,-0.265,-0.053,0.043,,已成交,选错·策略,限价成交,18.86,-0.265,-0.053,0.043,选错,-0.948,-0.64,轻微未兑现(方向失分/防β达成),-0.95%(收18.81) α-0.65pp 本批唯一方向失分；MA10未失守止损未触发；把'低波动'读成'低波动+向上'，缺触发信号不该给方向,,trigger_price取买入区间上沿18.99，区间18.66~18.99。
2026-09-02,301246,宏源药业,定时策略,观望,观望（明确不买，非对冲）,4.0,策略0合议Top1(0.725)(检验样本),条件触发,若要参与只能等：①六氟磷酸锂价格重新走强 ②主力资金转为连续净流入,,不建仓,18.48,-2.2739291380222126,2026-09-03,18.65,18.68,18.36,18.49,0.49,18.23,-0.3076,True,18.48,0.054,-1.353,0.362,,已成交,观望踏空(涨),不建仓,,,,,观望踏空(涨),0.054,0.362,观望兑现(消息面否掉合议分),+0.05%(收18.49) α+0.36pp 兑现；5连跌后首次止跌，消息面否掉系统合议分这次对了；观望'正确'今天只值+0.36pp，真正检验在5日,,参与条件为非价格型条件(行业数据/资金流)，trigger_price无法解析为数字。
2026-09-02,002084,海鸥住工,定时策略,规避,规避（游资情绪票，只给风险不给方向）,5.0,最大范围+动量组合+反转低换手(否决层降级)(检验样本),未指定,不给方向，只标极高波动/规避,,不建仓,7.12,1.4245014245014342,2026-09-03,7.02,7.24,6.5,6.91,2.46,7.1,-0.3076,True,7.02,-1.567,1.14,-1.259,,已成交,真避损,不建仓,,,,,真避损,-2.949,-2.641,规避正确(真避损),"-2.95%(收6.91,振幅10.4%换手24.56%) α-2.64pp 规避正确；开板后放量下杀典型派发，经验#1+反转否决层双双验证",,
2026-09-03,300802,矩子科技,定时策略,买入候选,买入·首选（明确表态，全批首选）,1.0,最大范围选股∩量价放量(连续放量5/5),开盘,次日开盘后分两批介入不等回踩；第一批开盘附近，第二批放量站上25.36时加；高开>4%(>25.7)则放弃第一批,25.36,开盘市价,24.68,7.725883893496288,2026-09-04,24.86,25.19,23.32,23.45,1.08,25.5,-0.3371,True,24.68,-4.984,3.323,-4.647,,已成交,假利好,开盘市价成交,24.86,-5.672,2.574,-5.335,选错,-4.984,-4.647,重大失分(首选满仓开盘买→止损),-4.98%(收23.45) α-4.68pp 重大失分：止损MA10 23.62触发，二批25.36未开；触发信号是09-03存量非09-04增量，零催化+量能衰减+普涨转普跌,,entry_type取'开盘'(第一批)，trigger_price记第二批加仓条件25.36。1日偏多·中等置信/5日偏多·低置信。
2026-09-03,300866,安克创新,定时策略,买入候选,买入·次选，仅在回踩或突破确认时入场,2.0,最大范围选股∩量价放量(近10日最大量),条件触发,二选一任一触发入半仓：①回踩132.0~134.0(BOLL上轨)且缩量量比<1.0 ②放量站上139.17(量比≥1.3)追小仓；都不触发则放弃,139.17,闸门,137.16,6.325581395348845,2026-09-04,137.3,138.18,134.65,135.91,0.87,132.24,-0.3371,True,137.16,-0.911,-3.587,-0.574,,已成交,假利好,未触发·空仓(未收阳;收盘135.91未站上139.17;量比0.87<1.3),,,,,空仓·真避损,-0.911,-0.574,方向错/闸门救对(空仓无损),-0.91% α-0.61pp 方向错但空仓无损：全天高138.18<139.17、低134.65>134，两个闸门全程未开，'上方受阻回落'判断被印证,,兼有限价(回踩132~134)与条件触发(站上139.17)两路，entry_type取条件触发、trigger_price取139.17；限价路关键位132~134。§2.5表把它标'可参与(不追高)'，§四排序表为'买入'，按排序表。1日偏多·低置信/5日不给方向。
2026-09-03,688612,威迈斯,定时策略,买入候选,可参与·小仓，纯技术面博弈（不给'买入'）,3.0,最大范围选股∩量价放量(连续放量),条件触发,仅在09-04放量站上36.47(收盘>36.47且量比≥1.3)入小仓(≤1/3仓)；未能站上则直接放弃不追不补,36.47,闸门,36.15,7.270029673590495,2026-09-04,36.24,40.32,36.2,38.78,3.34,,-0.3371,False,,,,,True,未成交(高开未回踩),踏空(高开未回踩),闸门触发·成交,36.47,6.334,,6.671,选对,7.275,7.612,强兑现(条件式表态被完整执行),"+7.28%(收38.78,盘中高40.32) α+7.58pp 强兑现：闸门先关后开、放量站上36.47触发入场，撑起全批唯一超额；含涡轮增压子链β成分，催化仍查不到→按原产出是减仓信号",,'可参与·小仓'按归一化规则归买入候选。1日偏多·低置信/5日不给方向。
2026-09-03,300857,协创数据,用户手动,买入候选,可参与·小仓（严格限定入场）/1日偏多·低置信,,"9策略0命中，SEPA+VCP(第10策略,当日未跑)重跑仍入池·用户手动指定",条件触发,仅放量站上269.15(20日最高收盘，且量比≥1.3)才入场，不达则放弃不追,269.15,闸门,265.88,1.461553138713989,2026-09-04,269.98,269.99,249.59,252.9,1.08,274.03,-0.3371,True,265.88,-4.882,3.065,-4.545,,已成交,选错·策略,闸门触发·成交(复盘记载覆盖),269.98,-6.326,1.5,-5.989,选错,-4.882,-4.545,方向错/闸门擦线即套(止损),-4.88%(收252.90) α-4.58pp 方向错+闸门擦线即套+触发止损：开盘跳空269.98擦线触发入场后单边下杀，收盘失守MA20 253.79；09-03盘后控股股东质押公告落地,,用户手动指定票，rank=null。'可参与·小仓'按规则归买入候选。复盘据此提出#20：高波动票价格阈值闸门需'开盘跳空作废'保护。
2026-09-03,000157,中联重科,定时策略,观望,观望（明确表态，不给方向/低波动待动）,4.0,反转低换手(1.4349)+策略0合议Top20(检验样本/与系统分歧),条件触发,不建仓；仅在触发信号出现后才入场：放量收阳站上MA5 6.68且量比≥1.3,6.68,不建仓,6.59,0.0,2026-09-04,6.59,6.66,6.59,6.62,0.52,6.64,-0.3371,True,6.59,0.455,0.759,0.792,,已成交,观望踏空(涨),不建仓,,,,,观望踏空(涨),0.455,0.792,待动未触发(#14正面执行),+0.46% α+0.76pp 不记分；量比0.44闸门未开；#14第二次实盘检验判小胜：既未错过大涨也未踩下跌，盘中α-0.57/收盘α+0.76符号反转,,5日若09-08挖机出口>+20%改判偏多(条件非预测)。
2026-09-03,601882,海天精工,用户手动,观望,观望（1日中性偏弱·低置信/5日不给方向）,,"仅最大范围选股(1/9,靠08-31涨停线入选)·用户手动指定",条件触发,仅在'主力资金转正 且 量比<0.7真缩量 且 守住MA5 21.882'三条同时满足后小仓,21.882,不建仓,22.52,-0.3539823008849585,2026-09-04,22.52,22.88,22.44,22.63,0.74,23.35,-0.3371,True,22.52,0.488,3.686,0.825,,已成交,观望踏空(涨),不建仓,,,,,观望踏空(涨),0.488,0.825,近中性(轻微偏保守),+0.49% α+0.79pp；三条件闸门未开(量比1.01未达真缩量)，守MA5未破MA10；'中性偏弱'轻微偏保守但α近零无实质错判,,用户手动指定票，文档明确单独记分、不进策略胜率统计，rank=null。
2026-09-03,603333,福华尚纬,定时策略,规避,规避（明确表态，不对冲）,5.0,最大范围选股∩放量后缩量回踩(S02)(检验样本),未指定,不建仓；若出现放量收阳站上10.37且量比≥1.5或农化资产注入正式公告则判断作废改判偏多,10.37,不建仓,10.2,-1.0669253152279512,2026-09-04,10.16,10.28,9.8,9.92,0.83,9.9,-0.3371,True,10.16,-2.362,-2.559,-2.025,,已成交,真避损,不建仓,,,,,真避损,-2.745,-2.408,规避正确(方向+波动双兑现),-2.75%(收9.92) α-2.45pp 规避正确：判决线MA10 10.04收盘失守，普涨环境里全天逆势下跌量比0.64，'缩量=买盘枯竭'证实,,表态不建仓故entry_type未指定；trigger_price 10.37为'判断作废改判偏多'的前提价位而非买点。1日低波动偏弱/5日偏弱·中置信。
2026-09-03,603161,科华控股,用户手动,规避,规避（1日不给方向/5日偏弱·中低置信）,,仅最大范围选股(1/9)·用户手动指定,条件触发,不建仓；重新评估前提=站上16.90(08-18前高)且量比≥1.5,16.9,不建仓,16.48,1.4778325123152802,2026-09-04,16.6,18.13,16.48,17.25,4.04,17.86,-0.3371,True,16.48,4.672,8.374,5.009,,已成交,规避打脸,不建仓,,,,,规避打脸,4.672,5.009,规避踏空,+4.67%(盘中涨停+10.01%后回吐一半) α+4.97pp 规避踏空、本日最大表态失分；财务依据未被推翻，被涡轮增压子链资金异动打上涨停，'开板派发'部分兑现,,用户手动指定票，rank=null。entry_type按'重新评估前提'条件归条件触发，非买入口径。复盘据此提出#19：规避应拆'不建仓(仓位)'+'看跌(方向)'。
2026-09-03,300429,强力新材,用户手动,规避,规避（1日不给方向/5日偏弱·中置信）,,0/9策略命中(合议-0.90负分)·用户手动指定,条件触发,不建仓；重新评估前提=放量收阳站上MA10 11.19且量比≥1.3,11.19,不建仓,11.16,-1.5873015873015817,2026-09-04,11.25,11.34,10.8,10.9,0.83,10.95,-0.3371,True,11.16,-2.33,-1.882,-1.993,,已成交,真避损,不建仓,,,,,真避损,-2.33,-1.993,规避正确,-2.33% α-2.03pp 规避正确；重评估闸门(站上MA10 11.19且量比≥1.3)未开,,用户手动指定票，rank=null。entry_type按'重新评估前提'归条件触发，非买入口径。
2026-09-04,002234,民和股份,定时策略,买入候选,买入（条件式·小-中仓）,1.0,合议#20 + 量价放量 + 最大范围选股(3口径),条件触发,分两批：第一批开盘30分钟量比≥1.0入场；第二批回踩不破MA5 8.21后再放量上攻补入；跳空>+4%(≥8.67)当日作废,8.21,闸门,8.34,4.380475594493105,2026-09-07,8.34,8.57,8.32,8.52,1.32,8.47,0.9935,True,8.34,2.158,1.559,1.164,,已成交,选对,闸门触发·成交,8.34,2.158,1.559,1.164,选对,2.158,1.164,选对(偏多兑现·真个股α),收8.52 +2.16%，α +1.23pp、子链α +1.48pp；偏多兑现且是真个股α，低换手健康上行,,trigger_price取第二批回踩位MA5 8.21；第一批为量比条件无价位。另有8.45突破位与8.67跳空作废位。
2026-09-04,605296,神农集团,定时策略,观望,观望（不建仓）；选股时买入候选，分析后降级,2.0,量价放量 + 最大范围选股 + SEPA合格池(3口径·同源K线),条件触发,主力净流入转正且超大单为正 + 收盘站上并守住36.66(今日高)，两条同时满足才升级为可参与·小仓；跳空>+3%(≥36.74)不追,36.66,不建仓,35.67,6.50940579277397,2026-09-07,35.5,36.62,35.28,36.47,1.18,35.9,0.9935,True,35.5,2.732,1.127,1.739,,已成交,观望踏空(涨),不建仓,,,,,观望踏空(涨),2.243,1.249,观望holds(待动未触发),收36.47 +2.24%，α +1.31pp；全天高36.62<升级闸门36.66，闸门整日未开→观望正确,,§2.3表标'买入候选'，§3.2/§4降级为观望；tier按最终表态取观望。
2026-09-04,603991,领先股份,定时策略,观望,观望（不建仓）·检验样本,3.0,量价放量 + 最大范围选股 + SEPA合格池(3口径·同源K线),条件触发,需同时出现可解释催化 + 电子行业等权连续2日>0 才升级为可参与·小仓；跳空在162.07上方开盘当日闸门作废,162.07,不建仓,159.6,8.320890457445351,2026-09-07,159.6,167.97,157.6,167.36,1.44,177.42,0.9935,True,159.6,4.862,11.165,3.869,,已成交,观望踏空(涨),不建仓,,,,,观望踏空(涨),4.862,3.869,踏空(观望机会成本·催生#23),收167.36 +4.86%，α +3.93pp，本批最大涨幅；破250日高但零催化、尾部风险未除，是观望的最大机会成本,,§2.3表标'检验样本'，§4表态'观望(不建仓)'；tier取观望，检验样本身份记于tier_raw。162.07为跳空作废线，非入场价。
2026-09-04,688262,国芯科技,定时策略,观望,观望（不建仓，不看跌）·检验样本,4.0,半导体多因子#1(单策略极值·纯基本面口径),条件触发,电子行业等权连续2日>0 +（融资余额连续3日净买入破5.5亿 或 披露AI ASIC具体订单）且当日放量收阳，才给偏多并考虑小仓,,不建仓,27.53,-2.098150782361308,2026-09-07,27.87,28.0,27.43,27.44,0.01,26.98,0.9935,True,27.53,-0.327,-1.998,-1.321,,已成交,观望正确(跌),不建仓,,,,,观望正确(跌),-0.327,-1.321,观望holds(待动未触发·避损),收27.44 −0.33%，α −1.26pp；午后褪色转负，#14无触发不给方向→观望holds，未错过也未受伤,,触发条件为板块/融资/公告类，无单一价位，trigger_price置null；盯点提到MA10 27.62、布林下轨25.78。
2026-09-04,603162,海通发展,定时策略,规避,不建仓 + 高风险规避,5.0,量价放量 + 最大范围选股 + SEPA新候选(3口径·同源'涨得多') + 换手/龙虎榜极值,未指定,不入场；方向前提=触发信号：无，即使放量收阳也不作为给方向依据,,不建仓,14.64,9.99248685199099,2026-09-07,15.13,15.47,13.73,14.13,2.01,14.03,0.9935,True,14.64,-3.484,-4.167,-4.478,,已成交,真避损,不建仓,,,,,真避损,-3.484,-4.478,真避损(规避正确),收14.13 −3.48%，α −4.41pp；换手25.79%全天派发、连板终结，规避完全正确，本批最大的'对'(坐实#22),,§2.3表标'检验样本'，§4表态'不建仓+高风险规避'；tier取规避。
2026-09-07,605007,五洲特纸,定时策略,买入候选,可参与偏多（条件式·底仓逻辑最强）,1.0,策略0合议#1 ∩ 反转低换手组合,条件触发,次日(或后续)放量(量比≥1.5)收阳站上MA5≈15.1才入第一批；跳空高开在闸门上方作废改判,15.1,闸门,14.78,-0.2026,2026-09-08,14.76,14.95,14.58,14.78,0.7,14.91,0.6921,True,14.76,0.136,1.016,-0.556,,已成交,选对,未触发·空仓(收盘14.78未站上15.1;量比0.7<1.5),,,,,空仓·平,0.0,-0.692,待动未触发(闸门未开·空仓·纪律),收14.78 0.00%，α −0.67pp；闸门未开(收<15.1、平量)→空仓不计方向；高低切'低位补涨'预期未兑现,,
2026-09-07,688262,国芯科技,定时策略,买入候选,可参与·小仓（条件式）,2.0,半导体多因子#1(单策略极值),条件触发,次日放量(量比≥1.5)站上MA5 27.8且收阳才入；单纯跟随板块高开不放量不入,27.8,闸门,27.44,-0.3269,2026-09-08,27.42,27.74,26.86,26.98,1.21,26.92,0.6921,True,27.42,-1.605,-1.823,-2.297,,已成交,选错·策略,未触发·空仓(未收阳;收盘26.98未站上27.8;量比1.21<1.5),,,,,空仓·真避损,-1.676,-2.368,待动未触发(闸门未开·避β回吐),收26.98 −1.68%，α −2.35pp；闸门未开→空仓；顺科技β随创业板−1.15%退潮，β回吐兑现，闸门避开负α,,09-09复盘盘中核实节提到该票早盘+1.30%放量、'β退潮论今早部分证伪'，属D+2信息，不计入本条verdict。
2026-09-07,001223,欧克科技,定时策略,检验样本,观望·不建仓（检验样本）,3.0,策略0合议#6 ∩ 量价放量(低位放量),未指定,不建仓；检验'放量突破但绩差+解禁抛压'样本,,不建仓,41.36,7.067,2026-09-08,41.46,41.46,39.85,40.11,1.04,42.06,0.6921,True,41.36,-3.022,1.692,-3.714,,已成交,追高,不建仓,,,,,空仓·真避损,-3.022,-3.714,真避损(规避对),收40.11 −3.02%，α −3.69pp本批最差；放量回吐(量比2.68)破昨收41.36，规避对，坐实#22供给面主导,,文档同时标'检验样本'与'观望·不建仓'；按归一化规则'检验样本'优先取检验样本，tier_raw保留观望表态。
2026-09-07,300313,天山生物,定时策略,检验样本,不建仓 + 方向待动（检验样本·#19）,4.0,最大范围选股 ∩ 量价放量 ∩ 动量组合(3命中·同源),未指定,不建仓；游资情绪票只标风险不给方向,,不建仓,15.75,9.451,2026-09-08,15.0,16.21,14.66,15.9,1.1,14.99,0.6921,True,15.0,6.0,-0.067,5.308,,已成交,选对,不建仓,,,,,空仓·踏空(机会成本),0.952,0.26,真避损(不建仓对·妖股方向不可测·催生#24),收+0.95%，α +0.29pp；日内whipsaw(低−6.9%→高+2.9%)，盘中−4.57%若判见顶即打脸，不建仓+方向待动是唯一正确处理,,
2026-09-07,300862,蓝盾光电,定时策略,检验样本,不建仓 + 方向待动（检验样本·#19）,5.0,动量组合(极端离群) ∩ 量价放量,未指定,不建仓；融资盘/散户化只标风险不给方向,,不建仓,50.39,8.4822,2026-09-08,49.0,50.09,47.72,49.8,0.94,49.0,0.6921,True,49.0,1.633,0.0,0.941,,已成交,选对,不建仓,,,,,空仓·真避损,-1.171,-1.863,真避损(规避对),收49.80 −1.17%，α −1.84pp；普涨日逆势回调，融资盘脆弱筹码高位回调兑现，规避对(坐实#2),,
2026-09-08,600356,恒丰纸业,定时策略,买入候选,可参与偏多（条件式·四面一致最强）,1.0,策略0合议#5 数据面0.732(消息面回灌误压纠偏),限价,回踩MA5 9.07不破、缩量企稳加仓；若次日继续放量突破9.6亦可跟,9.07,限价挂单,9.41,3.066812705366906,2026-09-09,9.31,9.46,9.27,9.35,0.85,9.3,-0.4093,True,9.31,0.43,-0.107,0.839,,已成交,选对,限价未成交(未回踩),,,,,空仓·真避损,-0.638,-0.229,随市微负α,09-09收−0.64%，α −0.17pp，随市微负α,,入场口径主体是'回踩9.07不破缩量企稳'(具体回踩价→按规则判限价)，另附'放量突破9.6也可跟'的条件触发备选。复盘表未记闸门是否触发。
2026-09-08,601061,中信金属,定时策略,买入候选,可参与偏多（条件式·底仓逻辑强）,2.0,策略0合议#1 ∩ 消息面回灌+0.80,条件触发,次日放量(量比≥1.5)收阳站上MA20 11.74入第一批；跳空高开在闸门上方作废改判,11.74,闸门,11.61,2.471315092674309,2026-09-09,11.61,12.25,11.61,12.18,1.77,12.64,-0.4093,True,11.61,4.91,8.872,5.319,,已成交,选对,闸门触发·成交,11.74,3.748,7.666,4.157,选对,4.91,5.319,强正α,09-09收+4.91%，α +5.38pp，强正α,,复盘表未记闸门(站上11.74放量)是否触发，仅给收盘α。文档另标89.77%已解禁为中长期压制。
2026-09-08,601339,百隆东方,定时策略,买入候选,可参与（条件式）,3.0,反转低换手组合#1 ∩ 消息面回灌+0.87(已打折),条件触发,次日放量(量比≥1.5)收阳站上MA5 7.51入,7.51,闸门,7.44,0.0,2026-09-09,7.41,7.56,7.4,7.54,0.69,7.42,-0.4093,True,7.41,1.754,0.135,2.163,,已成交,选对,未触发·空仓(量比0.69<1.5),,,,,空仓·踏空(机会成本),1.344,1.753,正α,09-09收+1.34%，α +1.81pp，正α,,复盘表未记闸门是否触发。
2026-09-08,601000,唐山港,定时策略,检验样本,观望偏多·小仓（条件式）·检验/条件式偏多,5.0,指标条件化排序#6 ∩ 消息面回灌+0.89(增持×6),条件触发,次日收阳站回MA5 4.60小仓入,4.6,闸门,4.51,-0.879120879120876,2026-09-09,4.5,4.59,4.49,4.57,1.01,4.58,-0.4093,True,4.5,1.556,1.778,1.965,,已成交,选对,未触发·空仓(收盘4.57未站上4.6;量比1.01<1.2),,,,,空仓·踏空(机会成本),1.33,1.739,正α,09-09收+1.33%，α +1.80pp，正α,,§3.3标题'检验样本（观望偏多·小仓条件式）'，§4表态'观望偏多·小仓'；文档明确将其定位为正向回灌检验样本，tier取检验样本。
2026-09-08,000035,中国天楹,定时策略,检验样本,观望（检验样本·消息面机制存疑）,6.0,扣非质量#1 ∩ 消息面回灌+0.74(依据错配),限价,不追高；回踩MA5 4.86缩量企稳再考虑,4.86,限价挂单,5.03,1.8218623481781384,2026-09-09,5.04,5.07,4.99,5.05,0.83,5.04,-0.4093,True,5.03,0.398,0.199,0.807,,已成交,选对,限价未成交(未回踩),,,,,空仓·踏空(机会成本),0.398,0.807,微正α,09-09收+0.40%，α +0.87pp，微正α,,§3.4标题'检验样本（观望）'，§4表态'观望'；tier取检验样本。入场为'等回踩4.86'→限价。
2026-09-08,688712,北芯生命,定时策略,观望,观望偏多（超跌待反弹）,4.0,策略0合议#2 数据面0.650 ∩ 消息面+0.25,条件触发,次日收阳站上MA5 31.41+低位金叉/底背离确认(量比数据不可靠改用价格+KDJ),31.41,不建仓,31.02,-0.1609269391696144,2026-09-09,31.02,31.02,30.15,30.22,2.09,29.21,-0.4093,True,31.02,-2.579,-5.835,-2.17,,已成交,观望正确(跌),不建仓,,,,,观望正确(跌),-2.579,-2.17,池内最弱α,09-09收−2.58%，α −2.11pp，池内最弱α,,§2清单标'观望偏多'无检验样本标签，tier取观望。
2026-09-08,688262,国芯科技,定时策略,观望,观望·不建仓（检验/对照样本）,7.0,半导体多因子#1 ∩ 消息面回灌−0.57(压对样本),未指定,不建仓；盯点为是否站上MA5 27.57、半导体次日涨跌,,不建仓,26.98,-1.6763848396501468,2026-09-09,27.15,27.79,26.85,26.92,1.01,26.73,-0.4093,True,26.98,-0.222,-0.927,0.187,,已成交,观望正确(跌),不建仓,,,,,观望正确(跌),-0.222,0.187,跑赢等权·绝对微跌,09-09收−0.22%，α +0.25pp，跑赢等权·绝对微跌；盘中核实：早盘+1.30%放量，创业板翻红，'β退潮'推演部分证伪,,§2标'检验/对照'，§4表态'观望·不建仓'。归一化上'检验样本'与'观望'均可；文档在§4排序表明确写'观望·不建仓'，且09-07同票已作买入候选，此处取观望以忠于排序表表态，检验/对照身份记tier_raw。
